,Class,Entropy,Skewness,Kurtosis,Contrast,Energy,Homogeneity,Dissimilarity,Correlation
802,0,7.636690232200197,-0.5866544031119637,-0.8340995294426126,81.36133959148728,0.042544263167572226,0.49649702300264154,2.4953216731898236,0.9922031180162671
803,0,7.224868564627074,-0.403238389192538,-1.2400579156444795,61.654101944716245,0.11543450178894693,0.5482264579295308,2.2372798434442265,0.9947951798555263
804,0,7.7753506240979,-0.12365279421183811,-0.9115703491268086,25.192705785225044,0.023093616086143166,0.3567791672171016,2.8634341364970646,0.9966334587741685
805,0,7.769819902992535,-0.3115725641089747,-1.0172546873903765,26.463368395303327,0.027969448098689266,0.3807228627623663,2.6585815190802347,0.9968812407932737
806,0,6.787423123561817,-0.8407342729194834,0.5874232877646106,10.16914215386497,0.039200557726528196,0.4390885016263144,1.9919925697162426,0.9954894999825763
807,0,7.783011324415756,0.05604554532707577,-1.0798406164419083,22.260541523972602,0.036352171908899715,0.38197942966693904,2.694234650195695,0.9974986266243503
808,0,7.71265903763948,-0.1345933901420199,-1.088665428131066,15.90237432729941,0.06579337843142613,0.43917214924350634,2.209202238258317,0.9984204969197269
809,0,7.731442124982004,-0.11196134007477235,-1.0615607736808015,19.322456733121328,0.04480368957613345,0.38108127162569466,2.6085226577788645,0.9977707977281635
810,0,7.801164540412572,-0.20486613009290505,-1.135544751490772,32.57204393957926,0.026578252300524498,0.3823325477466768,2.7787694165851273,0.9963260796211038
811,0,7.7527541567645395,-0.36173288193384207,-0.8833149748586271,19.132858365949122,0.04620358156493353,0.405796343373775,2.396289444716243,0.9979858512468986
812,0,7.82073126806896,-0.11009516555853428,-1.069545898412129,33.311227219911935,0.023381821775969123,0.39683108883685825,2.63088230797456,0.995555023179366
813,0,7.795566449092837,-0.06070160558255058,-1.2086794702214951,17.04086656066536,0.035293946360828776,0.36789734294898474,2.57930987035225,0.998195096852717
814,0,7.456156312405131,-0.8944561743871549,0.18504506325480508,29.658065527152644,0.056660799891748305,0.4322347409895659,2.461292961105675,0.9963729546415918
815,0,7.528377854903654,-0.8326707565093433,-0.18502682153345162,30.012032167318978,0.036257904298785684,0.4687330692460129,2.3567912181996085,0.9960105438305866
816,0,7.4698427413553645,-0.930513856285522,0.4277646068155727,40.860563692514674,0.03607579385130326,0.4849337179779839,2.291741835861057,0.9928365586666148
817,0,7.64935001908392,-0.42941706338840135,-0.6458123961742057,16.365134998776906,0.037944997158461544,0.49472774543658493,1.8111201993639923,0.9975745765326433
818,0,7.722697562819834,0.23735004005126015,-0.7480778513169297,13.832058005136988,0.03688750482708174,0.4083898621370902,2.3203927654109586,0.9982200345633659
819,0,7.648172879093962,-0.11536963219717535,-0.8418129593969552,26.368135396281797,0.046823913694294096,0.5564406271917101,1.5076290362035225,0.9961142787967449
820,0,7.140571598540864,-0.08687883228595264,-1.3111509100472396,90.28030210371818,0.14857795372410082,0.5586142551583504,2.503340569960861,0.993272274651933
821,0,7.769002263299201,0.24488601711779837,-0.9564103190213746,16.920709240459885,0.046419875182044844,0.4256669292862931,2.326867508561644,0.9981133606291718
